Categoria,Nome do Produto,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Teclado,Redragon Teclado Modelo 747,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",289.26,27.97,8.66,1.29,1.32,5.32,44.56,41.82
HD,WD HD Modelo 305,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",3406.75,25.55,5.87,2.2,1.18,5.26,40.06,477.15
Notebook,Dell Notebook Modelo 721,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",2334.86,15.36,9.74,0.81,1.37,4.63,31.91,307.99
Teclado,Razer Teclado Modelo 462,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",5290.56,15.35,7.47,9.75,1.07,7.42,41.06,746.29
Notebook,Dell Notebook Modelo 667,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",2737.49,10.62,10.21,9.75,1.63,5.3,37.51,376.43
Webcam,Microsoft Webcam Modelo 755,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",1088.65,10.13,6.25,7.43,1.2,3.81,28.82,140.24
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 168,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",4551.44,24.9,15.76,1.12,1.55,6.14,49.47,680.3
Monitor,AOC Monitor Modelo 368,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",4540.77,26.46,9.31,7.5,1.31,3.8,48.38,673.76
SSD,WD SSD Modelo 445,"SSD da marca WD, modelo avançado com alta performance para aplicações diversas.",1485.79,14.5,7.54,4.64,1.1,4.59,32.37,196.67
Placa-mãe,MSI Placa-mãe Modelo 528,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",3940.13,18.32,8.64,6.13,0.77,7.15,41.01,555.6
Monitor,LG Monitor Modelo 528,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",1389.59,12.9,17.71,1.7,1.44,5.5,39.25,193.5
Notebook,Dell Notebook Modelo 734,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",4156.19,38.61,12.07,9.24,1.0,3.64,64.56,683.94
HD,Seagate HD Modelo 936,"HD da marca Seagate, modelo avançado com alta performance para aplicações diversas.",2171.88,17.49,15.05,2.63,0.96,6.76,42.89,310.34
Mouse,Corsair Mouse Modelo 635,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",2432.53,30.09,17.61,3.46,0.79,6.1,58.05,384.46
Teclado,Logitech Teclado Modelo 201,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",5005.58,24.43,10.87,1.9,0.86,5.25,43.31,717.35
Fonte,Cooler Master Fonte Modelo 621,"Fonte da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",2679.68,14.5,11.67,5.99,1.25,5.02,38.43,370.95
Mesa Gamer,Mymax Mesa Gamer Modelo 395,"Mesa Gamer da marca Mymax, modelo avançado com alta performance para aplicações diversas.",3694.67,21.87,14.84,2.79,0.86,6.09,46.45,541.08
Impressora,Canon Impressora Modelo 652,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",834.31,36.37,6.26,7.12,0.7,3.58,54.03,128.51
SSD,Kingston SSD Modelo 527,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",4194.71,11.01,8.73,1.91,0.94,3.52,26.11,529.0
Placa-mãe,MSI Placa-mãe Modelo 358,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",665.76,38.1,13.05,7.41,0.7,6.77,66.03,110.54
Mouse,Logitech Mouse Modelo 334,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",4309.47,28.62,6.97,0.23,1.07,6.19,43.08,616.6
Suporte Monitor,ELG Suporte Monitor Modelo 248,"Suporte Monitor da marca ELG, modelo avançado com alta performance para aplicações diversas.",1853.95,15.82,15.96,1.41,1.6,5.57,40.36,260.22
Fonte,Corsair Fonte Modelo 388,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",3119.08,10.89,12.11,1.92,0.84,4.44,30.2,406.1
Monitor,AOC Monitor Modelo 480,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",5211.13,28.33,5.58,1.58,1.44,7.49,44.42,752.59
Fonte,Corsair Fonte Modelo 884,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",5842.17,18.8,15.19,9.56,0.91,7.44,51.9,887.43
Teclado,Razer Teclado Modelo 784,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",4365.32,13.15,14.57,5.21,1.22,6.5,40.65,613.98
Teclado,Redragon Teclado Modelo 354,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",4986.69,28.49,16.89,3.26,1.34,6.05,56.03,778.07
Monitor,AOC Monitor Modelo 680,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",1460.43,24.77,14.54,4.15,0.86,6.16,50.48,219.77
Fonte,EVGA Fonte Modelo 496,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",5728.17,23.05,5.89,7.63,1.55,5.98,44.1,825.43
Mouse,Razer Mouse Modelo 806,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",535.46,36.0,11.05,2.19,1.34,4.92,55.5,83.26
Memória RAM,Crucial Memória RAM Modelo 148,"Memória RAM da marca Crucial, modelo avançado com alta performance para aplicações diversas.",219.7,29.16,12.18,9.1,0.75,6.05,57.24,34.55
SSD,Kingston SSD Modelo 710,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",1250.38,21.39,13.22,8.01,1.63,5.67,49.92,187.46
Cooler,Cooler Master Cooler Modelo 463,"Cooler da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",1201.09,18.18,16.39,8.77,0.92,7.37,51.63,182.12
Mouse,Corsair Mouse Modelo 768,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",5855.25,39.72,17.18,2.1,0.73,5.13,64.86,965.3
Mouse,Logitech Mouse Modelo 834,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",1943.95,12.45,11.62,7.41,0.84,5.87,38.19,268.63
SSD,WD SSD Modelo 865,"SSD da marca WD, modelo avançado com alta performance para aplicações diversas.",2243.29,39.12,7.78,1.45,1.14,5.97,55.46,348.74
Controle Console,Sony Controle Console Modelo 711,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",5427.73,38.81,16.14,7.22,1.27,3.4,66.84,905.56
HD,Seagate HD Modelo 157,"HD da marca Seagate, modelo avançado com alta performance para aplicações diversas.",807.0,22.94,14.33,7.78,1.48,4.11,50.64,121.57
Cooler,Thermaltake Cooler Modelo 665,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",469.72,28.04,9.26,3.9,0.87,3.97,46.04,68.6
Impressora,Canon Impressora Modelo 922,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",1687.69,18.64,16.09,4.9,0.97,7.49,48.09,249.93
Cooler,Thermaltake Cooler Modelo 664,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",5808.91,18.24,14.05,7.46,0.99,3.36,44.1,837.06
Headset,Logitech Headset Modelo 809,"Headset da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2833.02,20.99,9.38,5.19,0.9,6.51,42.97,405.04
Controle Console,8BitDo Controle Console Modelo 234,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",898.25,24.54,5.4,0.65,0.67,3.18,34.44,120.76
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 442,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",372.39,35.79,6.47,4.51,1.16,3.91,51.84,56.54
Suporte Monitor,Multivisão Suporte Monitor Modelo 661,"Suporte Monitor da marca Multivisão, modelo avançado com alta performance para aplicações diversas.",3275.9,10.32,14.67,6.67,0.84,3.08,35.58,444.15
Monitor,AOC Monitor Modelo 785,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",5477.09,39.09,8.86,3.06,1.25,6.75,59.01,870.91
Impressora,Canon Impressora Modelo 430,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",939.09,17.02,7.8,0.79,0.95,6.89,33.45,125.32
Controle Console,8BitDo Controle Console Modelo 720,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",876.9,23.95,6.54,6.35,1.13,6.68,44.65,126.84
Mesa Gamer,Dazz Mesa Gamer Modelo 770,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",2815.0,31.12,5.78,3.69,1.2,3.54,45.33,409.1
Headset,HyperX Headset Modelo 581,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",4975.34,17.92,10.2,5.61,0.78,6.34,40.85,700.78
Gabinete,Cooler Master Gabinete Modelo 795,"Gabinete da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",5912.56,33.58,10.4,4.68,1.0,7.58,57.24,929.69
Console,Sony Console Modelo 587,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",5473.23,37.24,13.83,5.52,0.91,4.66,62.16,887.54
Monitor,LG Monitor Modelo 871,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",5099.82,14.08,13.22,4.97,0.77,4.33,37.37,700.56
Gabinete,NZXT Gabinete Modelo 572,"Gabinete da marca NZXT, modelo avançado com alta performance para aplicações diversas.",5665.95,39.76,9.8,5.73,1.27,5.63,62.19,918.96
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 652,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",5451.77,12.06,9.47,1.76,1.62,6.84,31.75,718.27
Monitor,Samsung Monitor Modelo 287,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",4779.81,38.0,11.73,2.29,1.47,7.25,60.74,768.31
Fonte,EVGA Fonte Modelo 795,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",3588.42,35.69,6.69,5.97,1.19,4.83,54.37,553.94
Console,Sony Console Modelo 689,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",4870.81,24.03,10.23,0.39,1.61,3.77,40.03,682.06
SSD,Kingston SSD Modelo 353,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",5401.56,17.18,8.14,6.21,0.76,3.15,35.44,731.59
Memória RAM,Corsair Memória RAM Modelo 482,"Memória RAM da marca Corsair, modelo avançado com alta performance para aplicações diversas.",712.78,11.84,13.53,9.97,1.43,6.31,43.08,101.98
